Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,11,0.61,0.31,0.4036423140516987
100% Corpus,11,0.61,0.61,0.42100833234219387
100% Corpus,11,0.61,0.9099999999999999,0.40566201525029355
100% Corpus,11,0.61,symmetric,0.4151049198695769
100% Corpus,11,0.9099999999999999,0.01,0.40249020188614026
100% Corpus,11,0.9099999999999999,0.31,0.40563512579643446
100% Corpus,11,0.9099999999999999,0.61,0.4009557873252302
100% Corpus,11,0.9099999999999999,0.9099999999999999,0.4091519007296261
100% Corpus,11,0.9099999999999999,symmetric,0.41948949381411876
100% Corpus,11,symmetric,0.01,0.3822602797636872
100% Corpus,11,symmetric,0.31,0.37096619291025035
100% Corpus,11,symmetric,0.61,0.40544718905788674
100% Corpus,11,symmetric,0.9099999999999999,0.4197590932083975
100% Corpus,11,symmetric,symmetric,0.40649110060415466
100% Corpus,11,asymmetric,0.01,0.3824287514784485
100% Corpus,11,asymmetric,0.31,0.417083907455971
100% Corpus,11,asymmetric,0.61,0.3915717393250528
100% Corpus,11,asymmetric,0.9099999999999999,0.4249652539226942
100% Corpus,11,asymmetric,symmetric,0.3813587193748674
100% Corpus,12,0.01,0.01,0.40768081695096386
100% Corpus,12,0.01,0.31,0.3846747621439291
100% Corpus,12,0.01,0.61,0.384512788137862
100% Corpus,12,0.01,0.9099999999999999,0.3980668088004442
100% Corpus,12,0.01,symmetric,0.374921957734866
100% Corpus,12,0.31,0.01,0.39358835652006907
100% Corpus,12,0.31,0.31,0.3747228610582128
100% Corpus,12,0.31,0.61,0.4050425783322847
100% Corpus,12,0.31,0.9099999999999999,0.435119002803296
100% Corpus,12,0.31,symmetric,0.40001408546463074
100% Corpus,12,0.61,0.01,0.40565104336613644
100% Corpus,12,0.61,0.31,0.4023010875225388
100% Corpus,12,0.61,0.61,0.4159988369406277
100% Corpus,12,0.61,0.9099999999999999,0.41430505745749047
100% Corpus,12,0.61,symmetric,0.4141046467448792
100% Corpus,12,0.9099999999999999,0.01,0.4012243792649875
100% Corpus,12,0.9099999999999999,0.31,0.40862508900781513
100% Corpus,12,0.9099999999999999,0.61,0.41147006965231103
100% Corpus,12,0.9099999999999999,0.9099999999999999,0.3998001184628528
100% Corpus,12,0.9099999999999999,symmetric,0.40230476314203756
100% Corpus,12,symmetric,0.01,0.42107442226495545
100% Corpus,12,symmetric,0.31,0.3872056763872731
100% Corpus,12,symmetric,0.61,0.3822063953459924
100% Corpus,12,symmetric,0.9099999999999999,0.3947737190878607
100% Corpus,12,symmetric,symmetric,0.38202623159303
100% Corpus,12,asymmetric,0.01,0.3947495936660714
100% Corpus,12,asymmetric,0.31,0.39881416211347004
100% Corpus,12,asymmetric,0.61,0.386303761949418
100% Corpus,12,asymmetric,0.9099999999999999,0.4262171117348362
100% Corpus,12,asymmetric,symmetric,0.37678281351892196
100% Corpus,13,0.01,0.01,0.3928919594012192
100% Corpus,13,0.01,0.31,0.406273357874426
100% Corpus,13,0.01,0.61,0.39671772021106544
100% Corpus,13,0.01,0.9099999999999999,0.3902727608449844
100% Corpus,13,0.01,symmetric,0.40853730584384923
100% Corpus,13,0.31,0.01,0.4196526522550971
100% Corpus,13,0.31,0.31,0.3999946663007585
100% Corpus,13,0.31,0.61,0.3830114794920918
100% Corpus,13,0.31,0.9099999999999999,0.4367729545838204
100% Corpus,13,0.31,symmetric,0.3909250532838811
100% Corpus,13,0.61,0.01,0.3989983873816297
100% Corpus,13,0.61,0.31,0.41203753490682193
100% Corpus,13,0.61,0.61,0.4072071413045576
100% Corpus,13,0.61,0.9099999999999999,0.4022944586486277
100% Corpus,13,0.61,symmetric,0.41798314301773437
100% Corpus,13,0.9099999999999999,0.01,0.4090589624641631
100% Corpus,13,0.9099999999999999,0.31,0.40800580586440344
100% Corpus,13,0.9099999999999999,0.61,0.40413996467435054
100% Corpus,13,0.9099999999999999,0.9099999999999999,0.4028820200132943
100% Corpus,13,0.9099999999999999,symmetric,0.4017389744857089
100% Corpus,13,symmetric,0.01,0.3934700991862693
100% Corpus,13,symmetric,0.31,0.3951058387824222
100% Corpus,13,symmetric,0.61,0.36140111256656565
100% Corpus,13,symmetric,0.9099999999999999,0.3856854513416878
100% Corpus,13,symmetric,symmetric,0.3919286196236185
100% Corpus,13,asymmetric,0.01,0.37987480867517864
100% Corpus,13,asymmetric,0.31,0.40789168683094357
100% Corpus,13,asymmetric,0.61,0.4111732921610407
100% Corpus,13,asymmetric,0.9099999999999999,0.3925125700674321
100% Corpus,13,asymmetric,symmetric,0.3889512066522464
100% Corpus,14,0.01,0.01,0.3805087377084667
100% Corpus,14,0.01,0.31,0.4094975362374825
100% Corpus,14,0.01,0.61,0.4085973984650203
100% Corpus,14,0.01,0.9099999999999999,0.4291081678131968
100% Corpus,14,0.01,symmetric,0.40587099929780157
100% Corpus,14,0.31,0.01,0.40858073110986987
100% Corpus,14,0.31,0.31,0.42353641354647026
100% Corpus,14,0.31,0.61,0.39844291778709306
100% Corpus,14,0.31,0.9099999999999999,0.4098799122065159
100% Corpus,14,0.31,symmetric,0.4276238389156095
100% Corpus,14,0.61,0.01,0.40654721535670824
100% Corpus,14,0.61,0.31,0.3918226082543482
100% Corpus,14,0.61,0.61,0.3988077235015196
100% Corpus,14,0.61,0.9099999999999999,0.3789852918621018
100% Corpus,14,0.61,symmetric,0.41977508998803703
100% Corpus,14,0.9099999999999999,0.01,0.40458073984690895
100% Corpus,14,0.9099999999999999,0.31,0.4003081507654498
100% Corpus,14,0.9099999999999999,0.61,0.4203129692909644
